time,source,target,sourceId,targetId
1,0,10,n0,n10
1,0,12,n0,n12
1,0,16,n0,n16
1,1,3,n1,n3
1,1,6,n1,n6
1,1,15,n1,n15
1,2,10,n2,n10
1,2,11,n2,n11
1,2,16,n2,n16
1,3,1,n3,n1
1,3,6,n3,n6
1,3,16,n3,n16
1,4,10,n4,n10
1,4,11,n4,n11
1,4,16,n4,n16
1,5,3,n5,n3
1,5,7,n5,n7
1,5,12,n5,n12
1,6,3,n6,n3
1,6,11,n6,n11
1,6,16,n6,n16
1,7,5,n7,n5
1,7,9,n7,n9
1,7,10,n7,n10
1,8,10,n8,n10
1,8,11,n8,n11
1,8,16,n8,n16
1,9,0,n9,n0
1,9,6,n9,n6
1,9,14,n9,n14
1,10,8,n10,n8
1,10,11,n10,n11
1,10,16,n10,n16
1,11,2,n11,n2
1,11,10,n11,n10
1,11,16,n11,n16
1,12,0,n12,n0
1,12,5,n12,n5
1,12,14,n12,n14
1,13,6,n13,n6
1,13,8,n13,n8
1,13,9,n13,n9
1,14,4,n14,n4
1,14,9,n14,n9
1,14,10,n14,n10
1,15,3,n15,n3
1,15,8,n15,n8
1,15,10,n15,n10
1,16,3,n16,n3
1,16,8,n16,n8
1,16,11,n16,n11
2,0,8,n0,n8
2,0,12,n0,n12
2,0,13,n0,n13
2,1,3,n1,n3
2,1,6,n1,n6
2,1,16,n1,n16
2,2,11,n2,n11
2,2,14,n2,n14
2,2,16,n2,n16
2,3,1,n3,n1
2,3,8,n3,n8
2,3,16,n3,n16
2,6,3,n6,n3
2,6,11,n6,n11
2,6,16,n6,n16
2,7,9,n7,n9
2,7,12,n7,n12
2,8,10,n8,n10
2,8,13,n8,n13
2,8,16,n8,n16
2,9,0,n9,n0
2,9,6,n9,n6
2,9,12,n9,n12
2,10,2,n10,n2
2,10,8,n10,n8
2,10,16,n10,n16
2,11,2,n11,n2
2,11,6,n11,n6
2,11,8,n11,n8
2,12,0,n12,n0
2,13,3,n13,n3
2,13,6,n13,n6
2,13,8,n13,n8
2,14,2,n14,n2
2,14,3,n14,n3
2,15,8,n15,n8
2,15,10,n15,n10
2,15,16,n15,n16
2,16,3,n16,n3
2,16,8,n16,n8
3,0,10,n0,n10
3,0,12,n0,n12
3,0,13,n0,n13
3,1,3,n1,n3
3,1,6,n1,n6
3,1,16,n1,n16
3,2,11,n2,n11
3,2,16,n2,n16
3,3,1,n3,n1
3,3,16,n3,n16
3,4,0,n4,n0
3,4,12,n4,n12
3,4,16,n4,n16
3,5,0,n5,n0
3,5,12,n5,n12
3,6,1,n6,n1
3,6,11,n6,n11
3,6,16,n6,n16
3,7,3,n7,n3
3,7,5,n7,n5
3,7,16,n7,n16
3,9,5,n9,n5
3,9,6,n9,n6
3,9,12,n9,n12
3,10,2,n10,n2
3,10,16,n10,n16
3,11,1,n11,n1
3,11,6,n11,n6
3,12,0,n12,n0
3,12,4,n12,n4
3,12,5,n12,n5
3,13,5,n13,n5
3,15,13,n15,n13
3,15,16,n15,n16
3,16,3,n16,n3
3,16,4,n16,n4
4,0,10,n0,n10
4,0,12,n0,n12
4,0,13,n0,n13
4,1,3,n1,n3
4,1,15,n1,n15
4,1,16,n1,n16
4,2,3,n2,n3
4,2,11,n2,n11
4,2,16,n2,n16
4,3,1,n3,n1
4,3,16,n3,n16
4,4,0,n4,n0
4,4,12,n4,n12
4,4,16,n4,n16
4,5,0,n5,n0
4,6,1,n6,n1
4,6,11,n6,n11
4,9,6,n9,n6
4,9,12,n9,n12
4,9,14,n9,n14
4,10,11,n10,n11
4,10,16,n10,n16
4,11,1,n11,n1
4,11,6,n11,n6
4,12,0,n12,n0
4,12,4,n12,n4
4,12,5,n12,n5
4,13,0,n13,n0
4,13,16,n13,n16
4,14,1,n14,n1
4,14,3,n14,n3
4,14,9,n14,n9
4,15,11,n15,n11
4,15,16,n15,n16
4,16,3,n16,n3
4,16,4,n16,n4
5,0,10,n0,n10
5,0,12,n0,n12
5,0,13,n0,n13
5,1,3,n1,n3
5,1,4,n1,n4
5,1,11,n1,n11
5,2,3,n2,n3
5,2,11,n2,n11
5,2,16,n2,n16
5,3,1,n3,n1
5,3,8,n3,n8
5,3,16,n3,n16
5,4,0,n4,n0
5,4,12,n4,n12
5,4,16,n4,n16
5,5,0,n5,n0
5,5,7,n5,n7
5,5,12,n5,n12
5,6,3,n6,n3
5,6,8,n6,n8
5,6,11,n6,n11
5,7,4,n7,n4
5,7,5,n7,n5
5,7,12,n7,n12
5,8,3,n8,n3
5,8,5,n8,n5
5,8,16,n8,n16
5,9,11,n9,n11
5,9,14,n9,n14
5,9,16,n9,n16
5,10,8,n10,n8
5,10,11,n10,n11
5,10,16,n10,n16
5,11,1,n11,n1
5,11,6,n11,n6
5,11,8,n11,n8
5,12,0,n12,n0
5,12,4,n12,n4
5,12,7,n12,n7
5,13,5,n13,n5
5,13,8,n13,n8
5,13,11,n13,n11
5,14,11,n14,n11
5,14,15,n14,n15
5,14,16,n14,n16
5,15,8,n15,n8
5,15,11,n15,n11
5,15,13,n15,n13
5,16,3,n16,n3
5,16,4,n16,n4
5,16,8,n16,n8
6,0,12,n0,n12
6,0,13,n0,n13
6,0,16,n0,n16
6,1,3,n1,n3
6,1,11,n1,n11
6,1,16,n1,n16
6,2,6,n2,n6
6,2,11,n2,n11
6,2,16,n2,n16
6,3,1,n3,n1
6,3,8,n3,n8
6,3,16,n3,n16
6,5,0,n5,n0
6,5,7,n5,n7
6,5,12,n5,n12
6,6,3,n6,n3
6,6,8,n6,n8
6,6,11,n6,n11
6,7,3,n7,n3
6,7,5,n7,n5
6,7,12,n7,n12
6,8,5,n8,n5
6,8,16,n8,n16
6,9,11,n9,n11
6,9,16,n9,n16
6,11,1,n11,n1
6,11,3,n11,n3
6,11,6,n11,n6
6,12,0,n12,n0
6,12,5,n12,n5
6,12,7,n12,n7
6,13,6,n13,n6
6,13,8,n13,n8
6,15,8,n15,n8
6,15,11,n15,n11
6,15,16,n15,n16
6,16,3,n16,n3
6,16,8,n16,n8
7,0,12,n0,n12
7,0,13,n0,n13
7,0,16,n0,n16
7,1,0,n1,n0
7,1,3,n1,n3
7,1,11,n1,n11
7,2,5,n2,n5
7,2,11,n2,n11
7,2,16,n2,n16
7,3,1,n3,n1
7,3,8,n3,n8
7,3,16,n3,n16
7,4,8,n4,n8
7,4,12,n4,n12
7,4,16,n4,n16
7,5,0,n5,n0
7,5,7,n5,n7
7,5,8,n5,n8
7,6,3,n6,n3
7,6,8,n6,n8
7,6,11,n6,n11
7,7,3,n7,n3
7,7,5,n7,n5
7,7,13,n7,n13
7,8,4,n8,n4
7,8,5,n8,n5
7,8,16,n8,n16
7,9,5,n9,n5
7,9,11,n9,n11
7,9,16,n9,n16
7,10,8,n10,n8
7,10,11,n10,n11
7,10,16,n10,n16
7,11,1,n11,n1
7,11,6,n11,n6
7,11,8,n11,n8
7,12,0,n12,n0
7,12,5,n12,n5
7,12,7,n12,n7
7,13,0,n13,n0
7,13,6,n13,n6
7,13,8,n13,n8
7,14,8,n14,n8
7,14,11,n14,n11
7,14,15,n14,n15
7,15,3,n15,n3
7,15,11,n15,n11
7,15,16,n15,n16
7,16,3,n16,n3
7,16,4,n16,n4
7,16,8,n16,n8
8,0,12,n0,n12
8,0,13,n0,n13
8,0,16,n0,n16
8,1,3,n1,n3
8,1,11,n1,n11
8,1,16,n1,n16
8,2,5,n2,n5
8,2,6,n2,n6
8,2,16,n2,n16
8,3,1,n3,n1
8,3,8,n3,n8
